Hoja1_Sexo,Hoja1_Zona,Hoja1_Departamento,Hoja1_Etario,Hoja1_Grupo,Hoja1_No_carente,Hoja1_Valor,Hoja1_Total,Hoja1_Sector,Hoja1_Proporción,Hoja1_Variable,Hoja1_ID,Hoja1_Nombre_dpto
Hombre,Rural,5,Mayor,Colombiana,49274.77,319043.7,368318.5,Multisector,86.62 %,Sin empleo,3852,Antioquia
Hombre,Rural,5,Mayor,Colombiana,270490.4,97828.09,368318.5,Multisector,26.56 %,Hacinamiento,680,Antioquia
Hombre,Rural,5,Mayor,Colombiana,324841,43477.47,368318.5,Multisector,11.80 %,Sin pisos duraderos,5988,Antioquia
Hombre,Rural,5,Mayor,Colombiana,347633.3,20685.26,368318.5,Multisector,5.62 %,Sin paredes duraderas,6522,Antioquia
Hombre,Rural,5,Mayor,Colombiana,365081.8,3236.694,368318.5,Multisector,0.88 %,Sin electricidad,5454,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,539.34833,539.34833,Multisector,100.00 %,Hacinamiento,681,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,539.34833,539.34833,Multisector,100.00 %,Sin empleo,3853,Antioquia
Hombre,Rural,5,Mayor,Retornada,539.34833,0,539.34833,Multisector,0.00 %,Sin electricidad,5455,Antioquia
Hombre,Rural,5,Mayor,Retornada,539.34833,0,539.34833,Multisector,0.00 %,Sin paredes duraderas,6523,Antioquia
Hombre,Rural,5,Mayor,Retornada,539.34833,0,539.34833,Multisector,0.00 %,Sin pisos duraderos,5989,Antioquia
Hombre,Rural,5,Mayor,Venezolana,0,4171.847,4171.847,Multisector,100.00 %,Sin empleo,3854,Antioquia
Hombre,Rural,5,Mayor,Venezolana,2106.763,2065.084,4171.847,Multisector,49.50 %,Hacinamiento,682,Antioquia
Hombre,Rural,5,Mayor,Venezolana,4171.847,0,4171.847,Multisector,0.00 %,Sin electricidad,5456,Antioquia
Hombre,Rural,5,Mayor,Venezolana,4171.847,0,4171.847,Multisector,0.00 %,Sin paredes duraderas,6524,Antioquia
