Condiciones_20_del_20_hogar_Sexo,Condiciones_20_del_20_hogar_Zona,Condiciones_20_del_20_hogar_Departamento,Condiciones_20_del_20_hogar_Etario,Condiciones_20_del_20_hogar_No_carente,Condiciones_20_del_20_hogar_Valor,Condiciones_20_del_20_hogar_Total,Condiciones_20_del_20_hogar_Proporción,Condiciones_20_del_20_hogar_Variable,Condiciones_20_del_20_hogar_ID,Condiciones_20_del_20_hogar_Nombre_dpto
Hombre,Rural,5,Mayor,49274.77,319043.7,368318.5,0.86621687479722,Sin internet,3852,Antioquia
Hombre,Rural,5,Mayor,270490.4,97828.09,368318.5,0.265607320837807,Hacinamiento,680,Antioquia
Hombre,Rural,5,Mayor,324841,43477.47,368318.5,0.118043133863762,Sin pisos duraderos,5988,Antioquia
Hombre,Rural,5,Mayor,347633.3,20685.26,368318.5,0.0561613386240441,Sin paredes duraderas,6522,Antioquia
Hombre,Rural,5,Mayor,365081.8,3236.694,368318.5,0.00878775842104049,Sin electricidad,5454,Antioquia
Hombre,Rural,5,Menor,20274.84,188067.9,208342.79,0.902684945324962,Sin internet,3850,Antioquia
Hombre,Rural,5,Menor,108449.5,99893.3,208342.79,0.479466076075875,Hacinamiento,678,Antioquia
Hombre,Rural,5,Menor,176145.2,32197.62,208342.79,0.154541561049461,Sin pisos duraderos,5986,Antioquia
Hombre,Rural,5,Menor,200272.3,8070.455,208342.79,0.0387364256761657,Sin paredes duraderas,6520,Antioquia
Hombre,Rural,5,Menor,206381.6,1961.227,208342.79,0.00941346230411909,Sin electricidad,5452,Antioquia
Hombre,Rural,8,Mayor,5317.7513,81082.97,86400.72,0.938452480488589,Sin internet,3858,Atlántico
Hombre,Rural,8,Mayor,53489.54,32911.18,86400.72,0.380913260908011,Hacinamiento,686,Atlántico
Hombre,Rural,8,Mayor,84334.382,2066.343,86400.72,0.0239158076460474,Sin electricidad,5460,Atlántico
Hombre,Rural,8,Mayor,84871.77,1528.954,86400.72,0.0176960793845236,Sin pisos duraderos,5994,Atlántico
Hombre,Rural,8,Mayor,85951.6,449.1273,86400.72,0.00519818932064455,Sin paredes duraderas,6528,Atlántico
Hombre,Rural,8,Menor,1570.807,44591.688,46162.49,0.965972329482227,Sin internet,3855,Atlántico
Hombre,Rural,8,Menor,20095.16,26067.34,46162.49,0.564686610276006,Hacinamiento,683,Atlántico
Hombre,Rural,8,Menor,44517.15,1645.342,46162.49,0.0356424014389172,Sin electricidad,5457,Atlántico
Hombre,Rural,8,Menor,45929.46,233.034668,46162.49,0.0050481390410266,Sin paredes duraderas,6525,Atlántico
Hombre,Rural,8,Menor,45973.099,189.395752,46162.49,0.00410280623943812,Sin pisos duraderos,5991,Atlántico
Hombre,Rural,11,Mayor,513.50148,69.976486,583.47797,0.119929953824992,Sin internet,3862,"Bogotá, D.C."
Hombre,Rural,11,Mayor,583.47797,0,583.47797,0,Hacinamiento,690,"Bogotá, D.C."
