DesMinDB_DataProyectoMineria_Sexo,DesMinDB_DataProyectoMineria_Zona,DesMinDB_DataProyectoMineria_Departamento,DesMinDB_DataProyectoMineria_Etario,DesMinDB_DataProyectoMineria_Grupo,DesMinDB_DataProyectoMineria_No_carente,DesMinDB_DataProyectoMineria_Valor,DesMinDB_DataProyectoMineria_Total,DesMinDB_DataProyectoMineria_Proporción,DesMinDB_DataProyectoMineria_Variable,DesMinDB_DataProyectoMineria_ID,DesMinDB_DataProyectoMineria_Nombre_dpto
,,,,,,,,,,,
Hombre,Rural,5,Mayor,Colombiana,0,4171847,4171847,1,Sin fuente de ingresos,3854,Antioquia
Hombre,Rural,5,Mayor,Colombiana,1148083,30237639,4171847,724802203915915,Sin alcantarillado,2786,Antioquia
Hombre,Rural,5,Mayor,Colombiana,1148083,418755722,1566839,267261487619341,Sin suministro continuo de agua,2284,Antioquia
Hombre,Rural,5,Mayor,Colombiana,1566839,2605008,4171847,624425584159726,Sin acueducto,1750,Antioquia
Hombre,Rural,5,Mayor,Colombiana,1660144,2511703,4171847,602060190606223,Sin recogida de basuras,1216,Antioquia
Hombre,Rural,5,Mayor,Colombiana,1847492,2324355,4171847,557152503435529,Sin sanitario,4922,Antioquia
Hombre,Rural,5,Mayor,Colombiana,2106763,2065084,4171847,495004730518641,Hacinamiento,682,Antioquia
Hombre,Rural,5,Mayor,Colombiana,2389651,1782196,4171847,427195915861727,Sin espacio exclusivo para la cocina,3320,Antioquia
Hombre,Rural,5,Mayor,Colombiana,3565743,6061039,4171847,145284306926884,Sin combustible adecuado para cocinar,148,Antioquia
Hombre,Rural,5,Mayor,Colombiana,3641705,53014214,4171847,127076122398544,Sin refrigerador,4388,Antioquia
Hombre,Rural,5,Mayor,Colombiana,4039047,13280006,4171847,318324377667733,Sin empleo,7043,Antioquia
Hombre,Rural,5,Mayor,Colombiana,4171847,0,4171847,0,Sin electricidad,5456,Antioquia
Hombre,Rural,5,Mayor,Colombiana,4171847,0,4171847,0,Sin paredes duraderas,6524,Antioquia
Hombre,Rural,5,Mayor,Colombiana,4171847,0,4171847,0,Sin pisos duraderos,5990,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,53934833,53934833,1,Hacinamiento,681,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,53934833,53934833,1,Sin alcantarillado,2785,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,53934833,53934833,1,Sin espacio exclusivo para la cocina,3319,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,53934833,53934833,1,Sin fuente de ingresos,3853,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,53934833,53934833,1,Sin sanitario,4921,Antioquia
Hombre,Rural,5,Mayor,Retornada,53934833,0,53934833,0,Sin acueducto,1749,Antioquia
Hombre,Rural,5,Mayor,Retornada,53934833,0,53934833,0,Sin combustible adecuado para cocinar,147,Antioquia
