Hoja1_Sexo,Hoja1_Zona,Hoja1_Departamento,Hoja1_Etario,Hoja1_Grupo,Hoja1_No_carente,Hoja1_Valor,Hoja1_Total,Hoja1_Sector,Hoja1_Proporción,Hoja1_Variable,Hoja1_ID,Hoja1_Nombre_dpto
Hombre,Rural,5,Mayor,Colombiana,49274.77,319043.7,368318.5,Multisector,0.86621687479722,Sin trabajo,3852,Antioquia
Hombre,Rural,5,Mayor,Colombiana,270490.4,97828.09,368318.5,Multisector,0.265607320837807,Hacinamiento,680,Antioquia
Hombre,Rural,5,Mayor,Colombiana,324841,43477.47,368318.5,Multisector,0.118043133863762,Sin pisos duraderos,5988,Antioquia
Hombre,Rural,5,Mayor,Colombiana,347633.3,20685.26,368318.5,Multisector,0.0561613386240441,Sin paredes duraderas,6522,Antioquia
Hombre,Rural,5,Mayor,Colombiana,365081.8,3236.694,368318.5,Multisector,0.00878775842104049,Sin electricidad,5454,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,539.34833,539.34833,Multisector,1,Hacinamiento,681,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,539.34833,539.34833,Multisector,1,Sin trabajo,3853,Antioquia
Hombre,Rural,5,Mayor,Retornada,539.34833,0,539.34833,Multisector,0,Sin electricidad,5455,Antioquia
Hombre,Rural,5,Mayor,Retornada,539.34833,0,539.34833,Multisector,0,Sin paredes duraderas,6523,Antioquia
Hombre,Rural,5,Mayor,Retornada,539.34833,0,539.34833,Multisector,0,Sin pisos duraderos,5989,Antioquia
Hombre,Rural,5,Mayor,Venezolana,0,4171.847,4171.847,Multisector,1,Sin trabajo,3854,Antioquia
Hombre,Rural,5,Mayor,Venezolana,2106.763,2065.084,4171.847,Multisector,0.495004730518641,Hacinamiento,682,Antioquia
Hombre,Rural,5,Mayor,Venezolana,4171.847,0,4171.847,Multisector,0,Sin electricidad,5456,Antioquia
Hombre,Rural,5,Mayor,Venezolana,4171.847,0,4171.847,Multisector,0,Sin paredes duraderas,6524,Antioquia
Hombre,Rural,5,Mayor,Venezolana,4171.847,0,4171.847,Multisector,0,Sin pisos duraderos,5990,Antioquia
Hombre,Rural,5,Menor,Colombiana,20274.84,188067.9,208342.79,Multisector,0.902684945324962,Sin trabajo,3850,Antioquia
Hombre,Rural,5,Menor,Colombiana,108449.5,99893.3,208342.79,Multisector,0.479466076075875,Hacinamiento,678,Antioquia
Hombre,Rural,5,Menor,Colombiana,176145.2,32197.62,208342.79,Multisector,0.154541561049461,Sin pisos duraderos,5986,Antioquia
Hombre,Rural,5,Menor,Colombiana,200272.3,8070.455,208342.79,Multisector,0.0387364256761657,Sin paredes duraderas,6520,Antioquia
Hombre,Rural,5,Menor,Colombiana,206381.6,1961.227,208342.79,Multisector,0.00941346230411909,Sin electricidad,5452,Antioquia
Hombre,Rural,5,Menor,Venezolana,585.74837,2095.068,2680.816,Multisector,0.781503840621662,Hacinamiento,679,Antioquia
Hombre,Rural,5,Menor,Venezolana,717.19531,1963.621,2680.816,Multisector,0.732471381847915,Sin trabajo,3851,Antioquia
Hombre,Rural,5,Menor,Venezolana,2680.816,0,2680.816,Multisector,0,Sin electricidad,5453,Antioquia
Hombre,Rural,5,Menor,Venezolana,2680.816,0,2680.816,Multisector,0,Sin paredes duraderas,6521,Antioquia
Hombre,Rural,5,Menor,Venezolana,2680.816,0,2680.816,Multisector,0,Sin pisos duraderos,5987,Antioquia
Hombre,Rural,8,Mayor,Colombiana,5317.7513,81082.97,86400.72,Multisector,0.938452480488589,Sin trabajo,3858,Atlántico
Hombre,Rural,8,Mayor,Colombiana,53489.54,32911.18,86400.72,Multisector,0.380913260908011,Hacinamiento,686,Atlántico
Hombre,Rural,8,Mayor,Colombiana,84334.382,2066.343,86400.72,Multisector,0.0239158076460474,Sin electricidad,5460,Atlántico
Hombre,Rural,8,Mayor,Colombiana,84871.77,1528.954,86400.72,Multisector,0.0176960793845236,Sin pisos duraderos,5994,Atlántico
Hombre,Rural,8,Mayor,Colombiana,85951.6,449.1273,86400.72,Multisector,0.00519818932064455,Sin paredes duraderas,6528,Atlántico
Hombre,Rural,8,Mayor,Retornada,0,4875.075,4875.075,Multisector,1,Sin trabajo,3859,Atlántico
Hombre,Rural,8,Mayor,Retornada,2257.811,2617.263,4875.075,Multisector,0.53686620205843,Hacinamiento,687,Atlántico
Hombre,Rural,8,Mayor,Retornada,4465.473,409.60156,4875.075,Multisector,0.0840195402122019,Sin paredes duraderas,6529,Atlántico
Hombre,Rural,8,Mayor,Retornada,4465.473,409.60156,4875.075,Multisector,0.0840195402122019,Sin pisos duraderos,5995,Atlántico
Hombre,Rural,8,Mayor,Retornada,4875.075,0,4875.075,Multisector,0,Sin electricidad,5461,Atlántico
Hombre,Rural,8,Mayor,Venezolana,0,7172.271,7172.271,Multisector,1,Sin trabajo,3860,Atlántico
Hombre,Rural,8,Mayor,Venezolana,3749.912,3422.359,7172.271,Multisector,0.477165321834604,Hacinamiento,688,Atlántico
Hombre,Rural,8,Mayor,Venezolana,6900.144,272.12708,7172.271,Multisector,0.0379415501728811,Sin electricidad,5462,Atlántico
Hombre,Rural,8,Mayor,Venezolana,6949.406,222.86447,7172.271,Multisector,0.0310730687672008,Sin pisos duraderos,5996,Atlántico
Hombre,Rural,8,Mayor,Venezolana,7172.271,0,7172.271,Multisector,0,Sin paredes duraderas,6530,Atlántico
Hombre,Rural,8,Menor,Colombiana,1570.807,44591.688,46162.49,Multisector,0.965972329482227,Sin trabajo,3855,Atlántico
Hombre,Rural,8,Menor,Colombiana,20095.16,26067.34,46162.49,Multisector,0.564686610276006,Hacinamiento,683,Atlántico
Hombre,Rural,8,Menor,Colombiana,44517.15,1645.342,46162.49,Multisector,0.0356424014389172,Sin electricidad,5457,Atlántico
